,Links
Towards Community-Driven NLP: Measuring Geographic Performance Disparities of Offensive Language Classifiers,https://openreview.net/forum?id=d0ECgzUIS3T
"HighIE: High-Order Inference for Entity Recognition, Relation Extraction, and Event Extraction",https://openreview.net/forum?id=Exljjx1lfcH
An Information-theoretic Approach to Prompt Engineering Without Ground Truth Labels,https://openreview.net/forum?id=2pXdLthNwh2
"What Works and Doesn\'t Work, A Deep Decoder for Neural Machine Translation",https://openreview.net/forum?id=uELLijm1osF
More Informative Dialogue Generation via Multiple Knowledge Selection,https://openreview.net/forum?id=vVoxEasyToY
Unsupervised Domain Adaptation for Event Detection via Meta Self-Paced Learning,https://openreview.net/forum?id=BgUXvB7hn1t
ST-SQL: Semi-Supervised Self-Training for Text-to-SQL via Column Specificity Meta-Learning,https://openreview.net/forum?id=CPdvNQGrOr0
Continual Prompt Tuning for Dialog State Tracking,https://openreview.net/forum?id=1FvpjR6pZug
ARCNN: A Semantic Enhanced Relation Detection Model for Knowledge Base Question Answering,https://openreview.net/forum?id=_TLu-3ucBI
One-to-Many and Many-to-One Dialogue Learning via Sentence Semantic Segmentation Guided Conditional Variational Auto-Encoder,https://openreview.net/forum?id=BaXUNv8-g9G
Improving End-to-end Speech Translation by Leveraging Auxiliary Speech and Text Data,https://openreview.net/forum?id=R6wAUSO2fSr
Improving Controllable Text Generation with Position-Aware Weighted Decoding,https://openreview.net/forum?id=QXlUtiZIARH
Learning Functional Distributional Semantics with Visual Data,https://openreview.net/forum?id=83XIAPSB_pj
Roles of Words: What Should (n\\u2019t) Be Augmented in Text Augmentation on Text Classification Tasks?,https://openreview.net/forum?id=_jpxhquKzO9
Comprehensive Multi-Modal Interactions for Referring Image Segmentation,https://openreview.net/forum?id=mZ_MHVvOwry
AdapLeR: Speeding up Inference by Adaptive Length Reduction,https://openreview.net/forum?id=AYXloseLOi
Toward More Meaningful Resources for Lower-resourced Languages,https://openreview.net/forum?id=UqO_3RE6E7x
End-To-End Sign Language Translation via Multitask Learning,https://openreview.net/forum?id=NOTubDYTfjQ
Rethinking and Refining the Distinct Metric,https://openreview.net/forum?id=Fx7vTiX9Wae
Tracking Satisfaction States for Customer Satisfaction Prediction in E-commerce Service Chatbots,https://openreview.net/forum?id=nu1dPURGSOi
A Zero-Resource Approach to Cross-Lingual Query-Focused Abstractive Summarization,https://openreview.net/forum?id=t0YZGag-6fe
Situated Dialogue Learning through Procedural Environment Generation,https://openreview.net/forum?id=z8yUOveEGqa
Get the Point! Graph Enhanced Candidate Retrieval for Zero-shot Entity Linking,https://openreview.net/forum?id=5eHlYiVukG
